0,0
0.01167,0.0015865
0.02313,0.0031039
0.034382,0.0045527
0.045428,0.0059331
0.05627,0.0072452
0.06691,0.0084895
0.077349,0.0096661
0.087591,0.010775
0.097637,0.011817
0.10749,0.012793
0.11715,0.013702
0.12662,0.014544
0.1359,0.01532
0.145,0.016031
0.15391,0.016676
0.16264,0.017256
0.17119,0.017771
0.17956,0.018221
0.18775,0.018607
0.19578,0.018929
0.20362,0.019187
0.2113,0.019381
0.21881,0.019511
0.22616,0.019579
0.23334,0.019584
0.24035,0.019526
0.24721,0.019406
0.25391,0.019224
0.26045,0.018981
0.26683,0.018675
0.27306,0.018309
0.27914,0.017882
0.28508,0.017394
0.29086,0.016845
0.2965,0.016236
0.302,0.015568
0.30735,0.01484
0.31256,0.014053
0.31764,0.013206
0.32258,0.012301
0.32738,0.011337
0.33206,0.010315
0.3366,0.0092347
0.34102,0.0080969
0.3453,0.0069016
0.34947,0.0056492
0.35351,0.0043398
0.35742,0.0029738
0.36122,0.0015514
0.36491,7.2814e-05
0.36847,-0.0014616
0.37193,-0.0030515
0.37527,-0.0046968
0.3785,-0.0063971
0.38162,-0.0081522
0.38464,-0.0099618
0.38755,-0.011826
0.39036,-0.013743
0.39307,-0.015715
0.39567,-0.01774
0.39849,-0.020161
0.40029,-0.02199
0.40062,-0.022779
0.40117,-0.024618
0.40354,-0.026466
0.40602,-0.028536
0.406,-0.032006
0.40553,-0.035413
0.40519,-0.038365
0.40572,-0.041123
0.40656,-0.044374
0.40738,-0.047127
0.41078,-0.05009
0.41259,-0.05265
0.41288,-0.054595
0.41528,-0.058097
0.41567,-0.061515
0.41757,-0.065316
0.42084,-0.068444
0.42378,-0.070762
0.425,-0.073756
0.4261,-0.077524
0.42841,-0.081556
0.42876,-0.085187
0.42819,-0.088826
0.42906,-0.092234
0.4297,-0.095605
0.43108,-0.099543
0.43262,-0.1039
0.43399,-0.10696
0.43591,-0.10859
0.43879,-0.11203
0.44023,-0.11685
0.43934,-0.1214
0.43855,-0.1263
0.44028,-0.13092
0.44104,-0.13448
0.44152,-0.13825
0.44218,-0.14185
0.44322,-0.14566
0.44589,-0.15031
0.44898,-0.15515
0.45125,-0.15927
0.45286,-0.16285
0.45385,-0.16618
0.4555,-0.16982
0.45677,-0.17475
0.46023,-0.18066
0.463,-0.18655
0.46443,-0.19174
0.46874,-0.19682
0.47497,-0.20227
0.47846,-0.20812
0.47977,-0.21393
0.481,-0.2177
0.48523,-0.22223
0.49199,-0.229
0.49781,-0.23491
0.50128,-0.24056
0.50467,-0.24618
0.50999,-0.25062
0.5163,-0.25464
0.52323,-0.25861
0.53107,-0.26332
0.53784,-0.26838
0.54549,-0.27339
0.55461,-0.27805
0.56282,-0.28197
0.57165,-0.28573
0.58056,-0.2912
0.58965,-0.29687
0.59858,-0.30106
0.60711,-0.30498
0.61408,-0.3084
0.62095,-0.31165
0.62972,-0.3157
0.63777,-0.31836
0.64856,-0.32163
0.65712,-0.32522
0.66201,-0.32765
0.67065,-0.33092
0.68001,-0.33455
0.68739,-0.33805
0.69689,-0.34225
0.70677,-0.3453
0.71643,-0.34822
0.72537,-0.35142
0.73271,-0.35408
0.74139,-0.35656
0.75072,-0.35965
0.75938,-0.36233
0.76784,-0.36435
0.77533,-0.36649
0.78405,-0.36917
0.79306,-0.37155
0.80029,-0.37383
0.8112,-0.37644
0.82153,-0.37826
0.8286,-0.37972
0.83701,-0.3818
0.84619,-0.38376
0.85508,-0.38581
0.86123,-0.38746
0.86719,-0.38917
0.87722,-0.39134
0.88712,-0.39373
0.89569,-0.39578
0.90369,-0.39766
0.91299,-0.39945
0.92216,-0.40079
0.93033,-0.40153
0.93945,-0.40403
0.94627,-0.40655
0.95288,-0.40851
0.95985,-0.41059
0.96392,-0.41185
0.97024,-0.41311
0.97736,-0.41529
0.9825,-0.41737
0.98939,-0.41985
0.99548,-0.42211
1.0006,-0.42386
1.0061,-0.42625
1.0129,-0.42976
1.0181,-0.43223
1.0212,-0.43503
1.026,-0.43812
1.0327,-0.44005
1.0386,-0.44225
1.0441,-0.44503
1.0478,-0.44685
1.051,-0.44834
1.0562,-0.45121
1.0581,-0.45382
1.0583,-0.45479
1.0593,-0.45643
1.0608,-0.45856
1.0638,-0.46096
1.0672,-0.46253
1.069,-0.46513
1.0682,-0.4691
1.069,-0.47256
1.0707,-0.4754
1.0708,-0.47816
