-177.43,-25.09,23.211
172.17,-24.966,50.083
171.28,-25.114,49.299
171.43,-25.112,49.315
172.33,-25.115,49.477
171.77,-25.246,49.19
171.91,-25.322,49.116
172.14,-25.375,49.04
172.26,-25.452,49.022
173.39,-25.464,50.02
173.47,-25.49,50.001
172.58,-25.623,49.146
173.58,-25.517,50.185
173.37,-25.496,49.629
172.96,-25.424,49.509
173.17,-25.282,49.813
173.22,-25.222,49.977
173.36,-25.101,50.221
173.17,-25.034,50.356
172.96,-24.981,51.062
172.96,-24.9,51.062
172.79,-24.836,51.372
172.68,-24.73,51.732
172.46,-24.586,52.147
172.28,-24.438,52.604
172.2,-24.271,53.504
172.02,-24.091,53.58
171.71,-23.909,54.061
171.44,-23.7,54.529
171.19,-23.491,55.218
170.88,-23.295,55.797
170.72,-23.057,56.805
170.34,-22.84,57.017
170.11,-22.658,57.62
169.8,-22.416,58.546
169.47,-22.167,58.692
169.38,-21.915,59.356
169.12,-21.708,59.996
168.89,-21.542,60.569
168.48,-21.353,61.345
167.87,-21.302,61.909
167.32,-21.227,62.393
166.9,-21.255,62.973
166.63,-21.356,64.314
165.82,-21.398,64.208
165.63,-21.474,65.129
165.5,-21.419,65.884
165.25,-21.435,67.556
165.12,-21.279,68.227
164.9,-21.035,69.237
164.71,-20.749,70.06
164.55,-20.467,70.962
164.26,-20.142,71.656
163.9,-19.819,72.403
163.58,-19.527,73.25
163.13,-19.262,74.048
162.7,-19.013,74.883
162.24,-18.824,75.77
161.87,-18.652,76.811
161.22,-18.349,77.906
160.65,-18.038,78.979
159.96,-17.591,80.173
159.15,-16.954,81.315
158.59,-16.262,82.506
158.07,-15.494,83.62
157.76,-14.845,84.776
157.61,-14.319,85.945
157.49,-13.9,87.108
157.43,-13.657,88.271
157.42,-13.67,89.319
157.7,-13.774,90.208
157.56,-13.761,91.252
157.93,-13.96,92.014
157.93,-13.942,93.01
158.27,-14.146,93.499
158.51,-14.288,94.119
159.02,-14.466,94.766
159.34,-14.443,95.249
159.75,-14.317,95.939
160.02,-14.231,96.488
160.33,-14.088,96.912
160.45,-13.924,97.104
160.52,-13.842,97.394
160.41,-13.707,97.71
160.34,-13.579,98.043
160.35,-13.475,98.369
160.02,-13.112,98.698
159.76,-12.891,99.084
159.39,-12.574,99.519
158.83,-12.107,99.853
158.38,-11.724,100.2
157.66,-11.291,100.75
157.21,-10.858,101.16
156.53,-10.54,101.6
156.05,-10.222,102.1
155.9,-10.11,102.69
155.64,-9.9088,103.34
155.66,-9.7497,104.15
155.97,-9.5816,105.14
156.47,-9.4208,106.04
157.11,-9.3524,107.11
157.71,-9.2487,107.82
158.42,-9.2339,108.63
159.14,-9.0429,109.09
160.12,-8.8908,109.71
161.15,-8.5058,110.03
162.03,-7.9987,110.29
162.78,-7.6643,110.65
163.14,-7.4597,111.19
163.26,-7.1778,111.85
163.29,-7.0806,112.67
163.24,-6.9488,113.71
163.2,-6.7733,114.88
163.37,-6.5527,116.17
163.68,-6.2247,117.5
164.1,-5.7736,118.73
164.76,-5.3601,119.77
165.45,-4.7341,120.81
166.31,-4.1751,121.74
167.41,-3.8429,122.56
168.55,-3.4348,123.45
169.69,-3.0086,124.29
170.88,-2.9417,125.12
